 ! Swift/XRT lightcurve of trigger: 848890, name: GRB 180720B
 ! T0 for this burst is Swift MET=553789325.9 s, = 2018 Jul 20 at 14:21:44.587 UT
 ! Data covers 0.3-10 keV
 ! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00848890
 ! BINMODE: GRB-like (counts)

! WTSLEW data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
77.4345223034732	0.404951676102939	-0.676808287138655	7.01450838248979e-08	6.95320819446458e-09	-178.254622556614
78.5294060097055	0.546594935965558	-0.689932030129441	5.57955075722136e-08	5.52599886379765e-09	-141.663008995245
79.5863023347515	0.582064710277237	-0.510301389080368	6.31745203742437e-08	6.25561707272202e-09	-160.390094461065
80.6963420554327	0.52878196286261	-0.527975010403992	6.44304483078368e-08	6.38091363087578e-09	-163.578890650363
81.7806915501311	0.373095483529823	-0.555567531835777	7.59593611814392e-08	7.52171213195068e-09	-192.849048236069
82.8122689054243	0.492587054094088	-0.658481871763414	6.12317850970511e-08	6.06374149057864e-09	-155.458054410436
84.3020961366579	0.843384853751957	-0.997240177139531	6.64640038828268e-08	4.99719371426266e-09	-128.096168419161
! WT data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
90.917	0.674	-0.600	6.485817e-08	7.2206199e-09	-1.850448e+02
92.134	0.461	-0.542	8.0564718e-08	9.2096316e-09	-2.357796e+02
92.976	0.451	-0.381	1.00077471e-07	1.10404827e-08	-2.826800e+02
94.010	0.528	-0.583	7.5229674e-08	8.3270226e-09	-2.133581e+02
94.994	0.453	-0.457	9.360936e-08	1.00662588e-08	-2.579295e+02
95.946	0.504	-0.499	8.4458751e-08	9.1260039e-09	-2.338581e+02
96.831	0.462	-0.381	9.9233199e-08	1.08845451e-08	-2.789034e+02
97.741	0.397	-0.448	1.02805989e-07	1.07892837e-08	-2.764381e+02
98.589	0.419	-0.451	9.781902e-08	1.05171924e-08	-2.695150e+02
99.505	0.493	-0.496	8.4956001e-08	9.2719731e-09	-2.375861e+02
100.444	0.393	-0.446	1.00076886e-07	1.09227105e-08	-2.798769e+02
101.357	0.492	-0.519	8.294364e-08	9.0976002e-09	-2.331180e+02
102.227	0.436	-0.379	1.04610519e-07	1.12555989e-08	-2.882298e+02
103.079	0.382	-0.416	1.08931602e-07	1.14571002e-08	-2.928800e+02
104.021	0.521	-0.559	7.761585e-08	8.5277907e-09	-2.181299e+02
104.932	0.378	-0.390	1.13220393e-07	1.19096796e-08	-3.044108e+02
105.752	0.428	-0.442	9.4708146e-08	1.0610925e-08	-2.715785e+02
106.555	0.326	-0.375	1.18558791e-07	1.31424696e-08	-3.365743e+02
107.324	0.570	-0.442	8.1743766e-08	9.1051896e-09	-2.332374e+02
108.286	0.344	-0.392	1.17431886e-07	1.24950345e-08	-3.201651e+02
108.990	0.361	-0.360	1.18302639e-07	1.27220262e-08	-3.259724e+02
109.789	0.405	-0.438	1.02345126e-07	1.08440904e-08	-2.778739e+02
110.547	0.346	-0.353	1.20387345e-07	1.31370876e-08	-3.366592e+02
111.369	0.476	-0.476	8.668413e-08	9.700002e-09	-2.485722e+02
112.192	0.391	-0.347	1.14900201e-07	1.24806123e-08	-3.197381e+02
113.127	0.490	-0.544	8.0344992e-08	8.9465805e-09	-2.292425e+02
