 ! Swift/XRT lightcurve of trigger: 848890, name: GRB 180720B
 ! T0 for this burst is Swift MET=553789325.9 s, = 2018 Jul 20 at 14:21:44.587 UT
 ! Data covers 0.3-10 keV
 ! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00848890
 ! BINMODE: GRB-like (counts)

! WTSLEW data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
77.4345223034732	0.404951676102939	-0.676808287138655	7.01450838248979e-08	6.94539824011153e-09	-178.087134361835
78.5294060097055	0.546594935965558	-0.689932030129441	5.57955075722136e-08	5.52457847317639e-09	-141.655858286574
79.5863023347515	0.582064710277237	-0.510301389080368	6.31745203742437e-08	6.25520961272871e-09	-160.389990069967
80.6963420554327	0.52878196286261	-0.527975010403992	6.44304483078368e-08	6.37956500848902e-09	-163.578589961257
81.7806915501311	0.373095483529823	-0.555567531835777	7.59593611814392e-08	7.52109748398801e-09	-192.848653435589
82.8122689054243	0.492587054094088	-0.658481871763414	6.12317850970511e-08	6.06285015659209e-09	-155.457696322874
84.3020961366579	0.843384853751957	-0.997240177139531	6.64640038828268e-08	4.99574045236913e-09	-128.095909035106
! WT data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
90.917	0.674	-0.600	6.485817e-08	7.21654648789179e-09	-185.039688947956
92.134	0.461	-0.542	8.0564718e-08	9.19515493762952e-09	-235.773199377222
92.976	0.451	-0.381	1.00077471e-07	1.10238844957384e-08	-282.663699521147
94.010	0.528	-0.583	7.5229674e-08	8.31994715546104e-09	-213.332091149312
94.994	0.453	-0.457	9.360936e-08	1.00584235863106e-08	-257.908261456065
95.946	0.504	-0.499	8.4458751e-08	9.12007280695665e-09	-233.848072631076
96.831	0.462	-0.381	9.9233199e-08	1.08763522252972e-08	-278.880877285353
97.741	0.397	-0.448	1.02805989e-07	1.07799774221572e-08	-276.409630811681
98.589	0.419	-0.451	9.781902e-08	1.05107558020388e-08	-269.506508012062
99.505	0.493	-0.496	8.4956001e-08	9.26521565091896e-09	-237.569686585529
100.444	0.393	-0.446	1.00076886e-07	1.09142853234736e-08	-279.853445353403
101.357	0.492	-0.519	8.294364e-08	9.09095343133068e-09	-233.101350957462
102.227	0.436	-0.379	1.04610519e-07	1.12405066579203e-08	-288.218128830818
103.079	0.382	-0.416	1.08931602e-07	1.14222950806804e-08	-292.879378606339
104.021	0.521	-0.559	7.761585e-08	8.5070080243725e-09	-218.12837385549
104.932	0.378	-0.390	1.13220393e-07	1.18720075538696e-08	-304.410471699363
105.752	0.428	-0.442	9.4708146e-08	1.05912362580574e-08	-271.570092010859
106.555	0.326	-0.375	1.18558791e-07	1.31253694016062e-08	-336.547964358537
107.324	0.570	-0.442	8.1743766e-08	9.09534991144443e-09	-233.214125592399
108.286	0.344	-0.392	1.17431886e-07	1.248554533163e-08	-320.142117709159
108.990	0.361	-0.360	1.18302639e-07	1.27117377583377e-08	-325.94198266228
109.789	0.405	-0.438	1.02345126e-07	1.08365332936478e-08	-277.859844782742
110.547	0.346	-0.353	1.20387345e-07	1.31293200035703e-08	-336.649261829938
111.369	0.476	-0.476	8.668413e-08	9.69390468982143e-09	-248.561657318581
112.192	0.391	-0.347	1.14900201e-07	1.24688036303976e-08	-319.712919793138
113.127	0.490	-0.544	8.0344992e-08	8.93971347573942e-09	-229.223357476762
114.161	0.502	-0.544	8.00709e-08	8.82008815086617e-09	-226.156130099159
115.159	0.482	-0.496	8.5238244e-08	9.4365314291563e-09	-241.96232055001
116.125	0.547	-0.483	8.2007367e-08	8.943641014205e-09	-229.324141848299
117.204	0.580	-0.532	7.7258922e-08	8.26081933765546e-09	-211.815852398231
118.453	0.751	-0.669	5.6987736e-08	6.53775922627932e-09	-167.634889842139
119.814	0.597	-0.611	6.9044235e-08	7.64372930985487e-09	-195.993082746192
121.039	0.638	-0.627	6.8194347e-08	7.25594167207007e-09	-186.049792790258
122.276	0.596	-0.599	6.9521712e-08	7.69658979134881e-09	-197.348501959829
123.456	0.594	-0.583	7.068399e-08	7.78608603818389e-09	-199.64327232522
124.649	0.595	-0.599	7.0923801e-08	7.65853289168507e-09	-196.372669685793
125.963	0.831	-0.719	5.3264172e-08	5.92651908985913e-09	-151.962080289901
127.578	0.764	-0.785	5.417997e-08	5.90880946324839e-09	-151.507989293427
129.064	0.740	-0.721	5.7236673e-08	6.27336546282701e-09	-160.855475959997
130.726	0.928	-0.922	4.5567951e-08	4.94496798190567e-09	-126.794019713631
132.636	1.007	-0.982	4.2508635e-08	4.61297618348662e-09	-118.281427682915
